PART NAME,VENDOR PART #,SOURCE,QTY,APPROX COST
3D Printed Parts,•,See 3D Printed Parts List,•,•
NVIDIA Jetson Nano Developer Kit,945-13450-0000-000,https://uk.rs-online.com/web/p/processor-development-tools/1999831/,•,•
MicroSD Card (128GB),SDSQUNC-032G-GN6MA,https://www.amazon.co.uk/SanDisk-microSDXC-Memory-Adapter-Performance/dp/B073JYC4XM/ref=asc_df_B073JYC4XM,•,•
Intel Dual Band Wireless-Ac 8265 W/Bt,8265NGW,https://uk.rs-online.com/web/p/wireless-adapters-wifi-dongles/2012899/,•,•
Dual Band Wi-Fi Antennas & IPEX4 to RP-SMA Cables,CHAOHANG 6484109,https://www.amazon.co.uk/gp/product/B07PG8RWDQ/ref=ox_sc_act_title_2?smid=A3F8F97TMOROPI&psc=1,•,•
Intel RealSense Depth Camera D435,961448,https://www.ebay.co.uk/itm/Intel-RealSense-Depth-Camera-D435-Silver-Complete-with-cable-and-stand/203186329877?epid=16034506126&hash=item2f4ed95915:g:StYAAOSwHpZftUpU,•,•
Bosch GY-BMI160 6DOF IMU Board (Generic Breakout),GY-BMI160,https://www.amazon.co.uk/GY-BMI160-Arduino-Gyroscope-Accelerometer-Navigation/dp/B07WRK21TN,•,•
Dynamixel MX-12W Servo Motor,902-0086-000,https://www.robotis.co.uk/robotis-dynamixel-mx-12w.html,•,•
USB2AX v3.2a or U2D2,XE-USB2AX (for USB2AX v3.2a) or RO-902-0132-000 (for U2D2),https://www.robotis.co.uk/robotis-u2d2.html / https://robosavvy.com/store/robotis-dynamixel-starter-set-intl.html,•,•
Dynamixel 6 Port AX/MX Power Hub,IL-3PHUB,https://www.amazon.co.uk/Port-AX-MX-Power-Hub/dp/B072JGSCFK,•,•
VEX 3.25” Omni-Directional Wheel,217-4775,https://www.vexrobotics.com/omni-wheels.html,•,•
DeWALT 20V MAX 2AH Li-ion Battery,DCB203,https://www.ebay.co.uk/itm/DeWALT-DCB203-20V-MAX-2-0Ah-Battery-Pack-DCB183-COMPATIBLE-WITH-18V-EQUIPMENT/124030131780?hash=item1ce0c59e44:g:YdkAAOSwgzZeDM56,•,•
DeWALT 20V MAX Li-ion Battery Charger,DCB107,https://www.ebay.co.uk/itm/Dewalt-DCB112-12-20V-Max-Li-Ion-Battery-Charger-New-for-DCB203-DCB204-DCB205/293620020248?epid=2256305582&hash=item445d1df418:g:1JEAAOSwFiNd-3O0,•,•
5V 6A DC-DC Step-Down Regulator,D24V60F5 - https://www.pololu.com/product/2865,https://coolcomponents.co.uk/products/5v-9a-step-down-voltage-regulator-d24v90f5,•,•
12V 5A DC-DC Step-Down Regulator,EA60-12V,https://www.amazon.co.uk/Uhomely-Adjustable-Transformer-Automotive-Electricity/dp/B07L66QTPZ/ref=sr_1_4?dchild=1&keywords=EPBOWPT+Voltage+Converter+DC+24V+36V+48V+to+12V+Buck+Converter+%2824V+to+12V+5A%2C+24V+to+12V+60W%29&qid=1606504885&sr=8-4,•,•
2.1 x 5.5mm Male Barrel Plug Pigtail,B072BXB2Y8,https://www.amazon.co.uk/Pigtail-Security-Camera-Female-Connectors-Black/dp/B07Q9Z5PLL/ref=sr_1_40?dchild=1&keywords=MILAPEAK+Power+Pigtail+Cable+Wire&qid=1606575825&sr=8-40,•,•
Rocker Switch,7395K28,"https://uk.rs-online.com/web/c/switches/rocker-switches-accessories/rocker-switches/?searchTerm=rocker%20switch&applied-dimensions=4293567401,4294346897,4291093434,4294307045&gridView=true / https://uk.rs-online.com/web/p/rocker-switches/7932456/",•,•
Terminal Block,7527K44,https://www.amazon.co.uk/dp/B07T4FQSZ6,•,•
Terminal Block Jumpers,7527K59,Included with terminal block,•,•
Wire End/Terminal Kit,HC28-6,https://www.amazon.co.uk/Accessbuy-Insulated-Electrical-Connector-Connectors/dp/B01L3MSLO0/ref=sr_1_1?dchild=1&keywords=Accessbuy+200pcs+Insulated+Electrical+Wire+Connector+Crimp+Connectors+Spade+Ring+Butt+Terminal+Set&qid=1606573346&sr=8-1,•,•
18AWG Electrical Wire (Red and Black),•,https://www.amazon.co.uk/Silicone-Flexible-Impedance-Strands-Airplane/dp/B07CZ9TM79/ref=sr_1_3?dchild=1&keywords=Electrical+Wire+18+AWG+18+Gauge+Silicone+Wire+Hook+Up+Wire+Cable+20+Feet+%5B10+ft+Black+and+10+ft+Red%5D+-+Soft+and+Flexible+150+Strands+0.08mm+of+Tinned+Copper+Wire+High+Temperature+Resistance+%2818AWG%29&qid=1606573404&sr=8-3,•,•
Female-Female Electrical Jumper Wires,•,https://www.amazon.co.uk/GLANDOTU-colorful-terminal-connection-Breadboard/dp/B08G1949YY/ref=sr_1_7?dchild=1&keywords=female%2Bfemale%2Bjumper%2Bwires&qid=1606573482&sr=8-7,•,•
MakerBeam 150x10x10mm Beams,bamb150p06,https://www.technobotsonline.com/makerbeam-starter-kit-in-black-anodised-threaded.html / https://www.amazon.co.uk/Makerbeam-100012-Assorted-Aluminium-Fastener/dp/B00G3J6GDM/ref=sr_1_2?dchild=1&keywords=MakerBeam&qid=1606919685&sr=8-2,•,•
MakerBeam 25 pieces T-slot nuts inc screws,101619,https://www.technobotsonline.com/makerbeam-t-slot-nut-set-pack-of-25-with-hex-key.html / https://www.amazon.co.uk/10x10-Maker-Profile-Screws-Plates-Eckwürfel/dp/B00U1F2J80/ref=sr_1_30?dchild=1&qid=1606921828&sr=8-30&srs=8800104031,•,•
M3 18mm threaded standoff,95947A525,https://www.amazon.co.uk/100Pcs-Fasteners-Female-Threaded-Standoff/dp/B07W68MLPS/ref=sr_1_40?dchild=1&keywords=Female+Threaded+Hex+Standoff+m3+0.5mm+thread+18mm&qid=1606573801&sr=8-40,•,•
M3 x 35mm Socket Head Screw,91292A033,https://www.amazon.co.uk/dp/B072F55HZM/ref=sspa_dk_detail_4?psc=1&pd_rd_i=B072F55HZM&pd_rd_w=pjjgz&pf_rd_p=1055d8b2-c10c-4d7d-b50d-96300553e15d&pd_rd_wg=lS1Qv&pf_rd_r=2NMJYVCC0MBYCETJ66X9&pd_rd_r=1b636a8d-78ba-4cee-ad63-a1f911a5e46e&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUFYWEhRNjI3T0RQNlkmZW5jcnlwdGVkSWQ9QTAwMTE4NTgzVUVHMFZRMjA1VENYJmVuY3J5cHRlZEFkSWQ9QTA4NzQwNjNZMTVPU1lWMDVUWjQmd2lkZ2V0TmFtZT1zcF9kZXRhaWwmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl,•,•
M3 x 8mm Socket Head Screw,91292A112,https://uk.rs-online.com/web/p/socket-screws/1871213/?cm_mmc=UK-PLA-DS3A-_-google-_-PLA_UK_EN_Fasteners_%26_Fixings_Whoop-_-Socket+Screws_Whoop-_-1871213&matchtype=&pla-358213601727&gclid=Cj0KCQiAh4j-BRCsARIsAGeV12CJ8GPfpKnQMcYDV6gh2QcQufcHJz2g02UI22tzHBMpz38ZDbQYkS4aAtLkEALw_wcB&gclsrc=aw.ds,•,•
M3 x 5mm Socket Head Screw,91292A110,https://uk.rs-online.com/web/c/fasteners-fixings/screws-bolts/socket-screws/?searchTerm=RS%20PRO%20M3%20x%205mm%20Hex%20Socket%20Cap%20Screw%20Plain%20Stainless%20Steel&applied-dimensions=4294848274,•,•
M3 Hex Nuts,90591A250,https://uk.rs-online.com/web/p/hex-nuts/0560293/,•,•
M2 x 6mm Phillips Screw,92010A003,https://uk.rs-online.com/web/p/security-screws/4187426/,•,•
